# Time (month),FLNS (W/m2),FLUT (W/m2),SOLIN (W/m2),FLNT (W/m2),FSNTC (W/m2),FSDSC (W/m2),FSNSC (W/m2),FLUTC (W/m2),FSDS (W/m2),FSNTOA (W/m2),TS (K),FLDS (W/m2),FSNT (W/m2),FSNS (W/m2),FLNTC (W/m2)
0.000000000000000000e+00,5.497324177165483405e+01,2.362394987618872335e+02,3.515032052616300575e+02,2.348659522194905662e+02,2.942049624490098836e+02,2.589567051440947125e+02,2.260231118029490176e+02,2.579069381712499194e+02,1.966272567879615849e+02,2.463709162770258274e+02,2.848655881069150269e+02,3.272850664515578387e+02,2.428340928296761945e+02,1.690330888839864372e+02,2.565333915111278884e+02
1.000000000000000000e+00,5.642183559031786189e+01,2.363258444632222961e+02,3.487915157855871371e+02,2.349606503127934900e+02,2.942210623116650936e+02,2.563554053473525869e+02,2.262131539410444532e+02,2.581585220460904111e+02,1.959554277605751054e+02,2.477735818799987157e+02,2.852255922167216227e+02,3.280010244742361465e+02,2.442394815972619142e+02,1.708550405856220777e+02,2.567933279329342326e+02
2.000000000000000000e+00,5.675443091765088610e+01,2.363379361654400839e+02,3.438926921644825256e+02,2.350037379102840305e+02,2.895466841596424956e+02,2.517286561167059631e+02,2.216877989160171296e+02,2.593348269136690192e+02,1.931705739209824912e+02,2.447507700400807096e+02,2.860208782005094577e+02,3.314810099820711002e+02,2.412602752680741105e+02,1.684371799536685046e+02,2.580006285925318252e+02
3.000000000000000000e+00,5.728718834024780904e+01,2.366721364409171713e+02,3.380461108871218130e+02,2.353583169252921437e+02,2.825354017272514966e+02,2.470777992532055691e+02,2.147976692611103715e+02,2.604379476029745888e+02,1.914644581565420651e+02,2.403945814505379701e+02,2.870412479000987673e+02,3.357862047630019333e+02,2.369810963765658585e+02,1.646124549165325845e+02,2.591241280433342808e+02
4.000000000000000000e+00,5.788284278062172916e+01,2.378986388766581968e+02,3.329646889944767167e+02,2.365977967716206933e+02,2.766243896183130460e+02,2.427385340070689779e+02,2.089532650627213570e+02,2.622925579763693236e+02,1.883488622509966035e+02,2.354702392403937381e+02,2.880189023493860532e+02,3.396611044930318712e+02,2.321410930031504165e+02,1.600918605549511256e+02,2.609917158067982541e+02
5.000000000000000000e+00,5.748908105585306316e+01,2.407160153023107227e+02,3.298736233107106273e+02,2.394231869387046459e+02,2.751745905739660998e+02,2.379597087547280694e+02,2.061767645340107720e+02,2.647879480841504574e+02,1.826076192962692630e+02,2.331151667490641728e+02,2.889623786411261221e+02,3.446590278149441815e+02,2.298278269655908161e+02,1.564058715002643396e+02,2.634951198239360792e+02
6.000000000000000000e+00,5.640866864202535425e+01,2.430996620004830220e+02,3.294832371646313618e+02,2.418039207086225701e+02,2.781061266960810485e+02,2.359384690332611285e+02,2.084810495051461317e+02,2.657870666078525232e+02,1.782970932950233589e+02,2.337659826309969446e+02,2.890968402872212550e+02,3.469262859635107361e+02,2.304503671142777534e+02,1.563798123666226729e+02,2.644913252816530758e+02
7.000000000000000000e+00,5.561825167876834541e+01,2.430894361390328129e+02,3.319162397577518959e+02,2.417828508253074915e+02,2.818570177322979475e+02,2.378226668897903835e+02,2.123659239713825855e+02,2.653671507489930832e+02,1.790137971598450406e+02,2.364098848316257602e+02,2.889820812636666005e+02,3.468249510932357111e+02,2.330301367230275389e+02,1.589584366739380812e+02,2.640605654902212791e+02
8.000000000000000000e+00,5.675968887257366191e+01,2.412660001870666804e+02,3.365665217557847768e+02,2.399563783198712770e+02,2.857431199987615287e+02,2.440468971650102219e+02,2.175308192197652488e+02,2.634422505142605928e+02,1.856769490517511372e+02,2.408516340108452027e+02,2.881731288662814450e+02,3.414750893463290140e+02,2.374167739421599777e+02,1.644372530003075212e+02,2.621326285664912916e+02
9.000000000000000000e+00,5.717414799578832429e+01,2.394850413510256999e+02,3.423565764034953531e+02,2.381648143504234270e+02,2.876665981561079093e+02,2.511268647477031948e+02,2.203302589661782065e+02,2.614662041491639570e+02,1.931880906582196076e+02,2.435280347114622828e+02,2.870914522831795352e+02,3.356296838281471082e+02,2.400564583337245779e+02,1.676444210342578742e+02,2.601459770199131185e+02
