# Time (month),FSNS (W/m2),FSDSC (W/m2),FLDS (W/m2),FLNTC (W/m2),FLNT (W/m2),FLUT (W/m2),FSNTOA (W/m2),FSNT (W/m2),TS (K),SOLIN (W/m2),FLNS (W/m2),FSNTC (W/m2),FSDS (W/m2),FSNSC (W/m2),FLUTC (W/m2)
0.000000000000000000e+00,1.665004342575612668e+02,2.565543785502886749e+02,3.289320817239859593e+02,2.560598324003420885e+02,2.335335164788931763e+02,2.349063354285489140e+02,2.446735587235618823e+02,2.411497037181351004e+02,2.850032551900927729e+02,3.502502630993002981e+02,5.437121700676971869e+01,2.936068809647397870e+02,1.932289286532750054e+02,2.244937734228369663e+02,2.574326514770018548e+02
1.000000000000000000e+00,1.663850789088821500e+02,2.531585119444605994e+02,3.305611926705984729e+02,2.562290436472668489e+02,2.329088807578193894e+02,2.342627941048977789e+02,2.435772308970909705e+02,2.400723924808537504e+02,2.853193280676583754e+02,3.458487839421814556e+02,5.463192642180122505e+01,2.920761670200468529e+02,1.906135636016398962e+02,2.237465364568799941e+02,2.575829570675055038e+02
2.000000000000000000e+00,1.626849499840353701e+02,2.474896317409954349e+02,3.330386506322079185e+02,2.572249984433453278e+02,2.330420144674057212e+02,2.343686888731403997e+02,2.394906615531534442e+02,2.360377678903411436e+02,2.859480199554116098e+02,3.401270852817171999e+02,5.527030914727436794e+01,2.864101179523304950e+02,1.865521593587171481e+02,2.180831958664200556e+02,2.585516727459354911e+02
3.000000000000000000e+00,1.597617804871061651e+02,2.422794395741240692e+02,3.362006145535312953e+02,2.582896272760542047e+02,2.334389302541310656e+02,2.347414724376385777e+02,2.363705629147251841e+02,2.329941661880804986e+02,2.870461140799022246e+02,3.344575944681887449e+02,5.687816289223443533e+01,2.794675589653392649e+02,1.855630688439456151e+02,2.108483062079511967e+02,2.595921695402855676e+02
4.000000000000000000e+00,1.567168145097071772e+02,2.398652417136775625e+02,3.403106976856691404e+02,2.601528330278324006e+02,2.339475760513637113e+02,2.352342168037109218e+02,2.322838809113914920e+02,2.289808057260331111e+02,2.881228753108862293e+02,3.304511018451315181e+02,5.760673100864316609e+01,2.749657999221402065e+02,1.839294614181832515e+02,2.069955605757510284e+02,2.614394738090246619e+02
5.000000000000000000e+00,1.527499614161847035e+02,2.364923185396790757e+02,3.459926898787418850e+02,2.622244693407365617e+02,2.362928460292800139e+02,2.375761376861603367e+02,2.300388565100471396e+02,2.267596916494534867e+02,2.889479948378158269e+02,3.290112799040467735e+02,5.598439911446315165e+01,2.754805718574203866e+02,1.773376786193994405e+02,2.059513226729970938e+02,2.635077610611992895e+02
6.000000000000000000e+00,1.527612245726021456e+02,2.352702472072752187e+02,3.486549480966723991e+02,2.632764346518218872e+02,2.378807437467997943e+02,2.391716966555031547e+02,2.315779237086454998e+02,2.282518927701125619e+02,2.891830110057553043e+02,3.304680509141599600e+02,5.499777045223539318e+01,2.797172364228098900e+02,1.733651562814521867e+02,2.087390085442942507e+02,2.645673874487496846e+02
7.000000000000000000e+00,1.558150819577491575e+02,2.390091979944459695e+02,3.488336262026679151e+02,2.632141406364461886e+02,2.385962911149763386e+02,2.399027468387184570e+02,2.348292552963852415e+02,2.314211108941216537e+02,2.890408274954111789e+02,3.345752306768507651e+02,5.399455592741941956e+01,2.849044619485772500e+02,1.749477509196791232e+02,2.140307073100538844e+02,2.645205962423946175e+02
8.000000000000000000e+00,1.620432241062381422e+02,2.456955860932093572e+02,3.442959613326402746e+02,2.623732036023464502e+02,2.385395553951143768e+02,2.398587387391269203e+02,2.404530373238094683e+02,2.369788285342762606e+02,2.884478946081240451e+02,3.402668183692346702e+02,5.531299015384881557e+01,2.896352583054668344e+02,1.823643961054225144e+02,2.197248690502936768e+02,2.636923866246966668e+02
9.000000000000000000e+00,1.656796582819831372e+02,2.529077646528907621e+02,3.381591807113908885e+02,2.597468369301079747e+02,2.357507089323048035e+02,2.370801731807414967e+02,2.433763462838796841e+02,2.398651536862412570e+02,2.873754967930774455e+02,3.461481609428505521e+02,5.598763173274641503e+01,2.914600994166734154e+02,1.905720494961711609e+02,2.224999226972311419e+02,2.610763012239738146e+02
