# Time (month),FSNT (W/m2),FLNS (W/m2),FSDSC (W/m2),FSNTC (W/m2),FSNS (W/m2),FLUTC (W/m2),FSDS (W/m2),FLNT (W/m2),FLUT (W/m2),FSNSC (W/m2),TS (K),SOLIN (W/m2),FLNTC (W/m2)
0.000000000000000000e+00,2.442232976807459011e+02,5.276084441771220668e+01,2.579600173086301425e+02,2.944522163214388115e+02,1.700425994584958858e+02,2.509957108759610094e+02,1.973819185442090998e+02,2.284476107701551086e+02,2.300904304120278994e+02,2.254909753584231566e+02,2.852746781099954774e+02,3.515032052616300575e+02,2.493528913076084450e+02
1.000000000000000000e+00,2.441895198112348453e+02,5.313243542946139542e+01,2.552472501304465595e+02,2.944759858840790798e+02,1.703635419214588183e+02,2.513183695528073258e+02,1.949391830680539499e+02,2.283057335266355494e+02,2.297767278186798308e+02,2.256966981127125962e+02,2.859139129450302903e+02,3.487915157855871371e+02,2.498473752729899218e+02
2.000000000000000000e+00,2.427252815867705067e+02,5.326321579021725228e+01,2.497827234796199889e+02,2.903399178559823781e+02,1.687838599316073100e+02,2.523313228172967513e+02,1.924357360289916699e+02,2.288354502305654137e+02,2.302712771133426770e+02,2.209780209171127581e+02,2.870038660940348336e+02,3.438926921644825256e+02,2.508954960264462386e+02
3.000000000000000000e+00,2.380591072864765181e+02,5.387417370284378393e+01,2.446194714256640736e+02,2.832601292661213961e+02,1.643712985615480591e+02,2.540700847103398985e+02,1.899644040188783549e+02,2.300623263060798820e+02,2.314713329139075313e+02,2.137850364469510396e+02,2.881858401976551818e+02,3.380461108871218130e+02,2.526610781838995763e+02
4.000000000000000000e+00,2.341135500480698397e+02,5.391020976191592240e+01,2.400127136485631638e+02,2.777971076431365418e+02,1.604775485340093439e+02,2.564448232724463423e+02,1.871207675610174590e+02,2.321445244365162068e+02,2.335375367509747377e+02,2.081454785350161956e+02,2.894331629765656544e+02,3.329646889944767167e+02,2.550518109610444242e+02
5.000000000000000000e+00,2.312731707741406524e+02,5.262725217509120057e+01,2.350758555714990052e+02,2.771526596897231229e+02,1.562023569640399216e+02,2.586944955681312308e+02,1.797466623811829152e+02,2.347640826504156450e+02,2.361520844491572291e+02,2.062165852307668672e+02,2.902439697794447966e+02,3.298736233107106273e+02,2.573064937585260168e+02
6.000000000000000000e+00,2.315976216555588962e+02,5.148462170037917218e+01,2.329425789388023986e+02,2.798499753516134092e+02,1.555473204827795826e+02,2.600071895840987963e+02,1.751915112304216677e+02,2.369800064696541710e+02,2.383720877786280710e+02,2.080604232420168671e+02,2.905530525930802241e+02,3.294832371646313618e+02,2.586151084168925536e+02
7.000000000000000000e+00,2.343293009057590268e+02,5.100029182488722057e+01,2.353691005651321575e+02,2.831641704502405901e+02,1.586317163387049050e+02,2.596628048171801879e+02,1.771183443750542210e+02,2.367853500509244782e+02,2.381842281945635023e+02,2.117121535152560341e+02,2.904138858004203598e+02,3.319162397577518959e+02,2.582639265719403170e+02
8.000000000000000000e+00,2.378993443372221179e+02,5.161726072618605343e+01,2.410808315313836374e+02,2.865705573387944582e+02,1.628159357517237993e+02,2.574755808745738932e+02,1.827451540223802624e+02,2.353386345214346989e+02,2.367445213830911825e+02,2.160169232667089148e+02,2.896457125218071269e+02,3.365665217557847768e+02,2.560696939465124160e+02
9.000000000000000000e+00,2.403334352569789871e+02,5.207025992795159652e+01,2.487107972838169587e+02,2.888348533056960150e+02,1.660810513873281025e+02,2.557021741493842057e+02,1.901674429526984511e+02,2.331925511802034237e+02,2.346161554747110927e+02,2.194237753816922520e+02,2.886504309854953476e+02,3.423565764034953531e+02,2.542785697815370440e+02
1.000000000000000000e+01,2.414430791938727623e+02,5.232012382263942385e+01,2.543881848467786426e+02,2.905156703983628859e+02,1.669986335935191448e+02,2.547240904954760481e+02,1.950383355109084960e+02,2.327681902258401010e+02,2.342180491934746556e+02,2.212708894120289358e+02,2.878249236687409507e+02,3.477552318303930861e+02,2.532742314743102554e+02
1.100000000000000000e+01,2.422714105680303192e+02,5.082732330733733050e+01,2.570346834567132532e+02,2.929460682732813552e+02,1.671057049912841705e+02,2.534304665816027580e+02,1.959007386652365881e+02,2.307480904061141871e+02,2.322235086089601168e+02,2.230157869007524312e+02,2.871795476752482728e+02,3.511677614972420542e+02,2.519550484459001325e+02
1.200000000000000000e+01,2.445575373492308984e+02,5.039365202073319239e+01,2.566624037079410527e+02,2.954821031786998446e+02,1.690159737174040799e+02,2.532111177729983353e+02,1.954741995702747488e+02,2.312571788568400848e+02,2.327371730612066756e+02,2.251382701242860378e+02,2.869318488705704340e+02,3.515032055601481034e+02,2.517311237734076030e+02
1.300000000000000000e+01,2.450191421664794120e+02,5.077109205292681793e+01,2.535507091171162699e+02,2.950705597244420346e+02,1.696162297746635375e+02,2.536126857504562224e+02,1.935355953983694235e+02,2.308739465716344057e+02,2.323408584912789365e+02,2.245745741738648462e+02,2.873336221975270632e+02,3.487915157855871371e+02,2.521457738426140907e+02
1.400000000000000000e+01,2.436969847056564333e+02,5.196351743983371563e+01,2.488585965981281163e+02,2.910525979334662452e+02,1.687778039065491953e+02,2.547968168547489540e+02,1.920481068322172291e+02,2.316760324538889790e+02,2.331134695464306503e+02,2.205538191821820817e+02,2.882892454273456337e+02,3.438926921644825256e+02,2.533593797278934119e+02
1.500000000000000000e+01,2.394497214949043098e+02,5.260469496578816972e+01,2.432936794297959580e+02,2.840939236754447279e+02,1.646886640903654211e+02,2.565131631530137497e+02,1.895252575654950533e+02,2.325280085590993622e+02,2.339394189443944470e+02,2.132725325054946381e+02,2.895021884959360250e+02,3.380461108871218130e+02,2.551017528838801525e+02
1.600000000000000000e+01,2.353022565692288310e+02,5.251886993652809821e+01,2.388808413058045801e+02,2.785045527822425697e+02,1.606775323021392978e+02,2.586381826102236801e+02,1.866661677457168480e+02,2.348893414672972710e+02,2.362854347871380583e+02,2.076881310053398408e+02,2.906021785658274439e+02,3.329646889944767167e+02,2.572420892555982164e+02
1.700000000000000000e+01,2.340256629695080051e+02,5.186426733211607143e+01,2.342074473788685225e+02,2.783033161226088623e+02,1.582161034987616688e+02,2.609958355129871279e+02,1.810446205930098245e+02,2.378939769814071497e+02,2.392849607245302650e+02,2.063822404315694143e+02,2.912987917181138187e+02,3.298736233107106273e+02,2.596048518255454951e+02
1.800000000000000000e+01,2.340891627630517462e+02,5.064836959906666891e+01,2.319588325393984292e+02,2.808598161831777702e+02,1.572036688376988707e+02,2.618530116485787289e+02,1.762025622603823365e+02,2.393112791200085780e+02,2.407052556567883812e+02,2.079478861374303165e+02,2.916649376544693837e+02,3.294832371646313618e+02,2.604590351817369651e+02
1.900000000000000000e+01,2.360393623358818900e+02,5.060121687981905581e+01,2.346959577490583513e+02,2.839954708941216950e+02,1.596663117861639591e+02,2.618654596746067114e+02,1.777240365715485666e+02,2.392274507697786987e+02,2.406316499619166507e+02,2.116239846752444009e+02,2.915164782367672842e+02,3.319162397577518959e+02,2.604612604855249742e+02
2.000000000000000000e+01,2.393278869596634877e+02,5.088627917586389060e+01,2.399038382089252082e+02,2.870979252836162345e+02,1.634280767336469466e+02,2.605413753012006737e+02,1.829669259394822234e+02,2.386418836411652933e+02,2.400500421792339125e+02,2.154505371305239692e+02,2.909696028396787710e+02,3.365665217557847768e+02,2.591332167977962513e+02
2.100000000000000000e+01,2.425152583199397895e+02,5.191055944209270478e+01,2.472333848796442339e+02,2.894894818906848286e+02,1.672869027667381943e+02,2.587268210176238767e+02,1.909080069180526777e+02,2.367397737058928442e+02,2.381573687559211692e+02,2.188118162829244397e+02,2.902313763199201162e+02,3.423565764034953531e+02,2.573092259490861125e+02
2.200000000000000000e+01,2.433234736532594695e+02,5.103836852200424801e+01,2.532607935718407646e+02,2.915413402760727308e+02,1.680583173841637574e+02,2.566463603883542532e+02,1.951697637699923007e+02,2.339225252333638707e+02,2.353693029789102695e+02,2.210826098620487130e+02,2.892264472526322265e+02,3.477552318303930861e+02,2.551995824195603575e+02
2.300000000000000000e+01,2.443105234647857742e+02,5.013130438321803695e+01,2.554119574791239415e+02,2.944721115039332631e+02,1.680287865591629384e+02,2.561355861483245349e+02,1.952383509390506333e+02,2.339068313043513854e+02,2.353807270293828253e+02,2.232670985350909234e+02,2.886366029658013304e+02,3.511677614972420542e+02,2.546616904179547589e+02
2.400000000000000000e+01,2.457450771521648676e+02,5.025882242978316583e+01,2.551434272151559242e+02,2.971754576888747010e+02,1.691566752311288440e+02,2.565121892362109293e+02,1.938745132925492669e+02,2.342145546201599586e+02,2.356934854986766368e+02,2.256276895804811318e+02,2.885794633071650424e+02,3.515032055601481034e+02,2.550332584046708178e+02
2.500000000000000000e+01,2.461121835982347363e+02,5.095103935460319633e+01,2.518091845084956617e+02,2.963253648312922905e+02,1.695524255480102056e+02,2.567106115117923650e+02,1.922023757421449659e+02,2.341924062158698803e+02,2.356594959326717458e+02,2.244984771419455001e+02,2.888185290753679624e+02,3.487915157855871371e+02,2.552435216197666534e+02
2.600000000000000000e+01,2.445624701469190541e+02,5.105384508413010991e+01,2.476129095393581281e+02,2.921199267401798352e+02,1.686431456416436276e+02,2.578562285850949820e+02,1.906983080968706474e+02,2.351965928947683153e+02,2.366381060297642875e+02,2.205526488016227802e+02,2.896709901786887258e+02,3.438926921644825256e+02,2.564147154280261702e+02
2.700000000000000000e+01,2.403233576014929156e+02,5.167061303299199437e+01,2.428736618990945431e+02,2.851280496186541313e+02,1.648583355538888213e+02,2.592349329891704315e+02,1.889019892244849643e+02,2.359560864370259310e+02,2.373732543903694534e+02,2.136080935341348095e+02,2.907104572431108522e+02,3.380461108871218130e+02,2.578177650122279942e+02
2.800000000000000000e+01,2.372194098635966952e+02,5.283578640344274646e+01,2.382592873812947403e+02,2.801894742294804814e+02,1.620468105527045850e+02,2.610394243794762588e+02,1.865983156013694497e+02,2.370678340909288409e+02,2.384645686906689264e+02,2.085783124592690285e+02,2.918928377755352130e+02,3.329646889944767167e+02,2.596426898250600175e+02
2.900000000000000000e+01,2.357281708727255420e+02,5.193305102952467678e+01,2.330979249998168257e+02,2.797892799093170879e+02,1.592632165681890228e+02,2.635450380900284699e+02,1.806211806154465478e+02,2.405909635553473720e+02,2.419825789584815539e+02,2.069970686967583049e+02,2.926412401397383292e+02,3.298736233107106273e+02,2.621534227960330554e+02
3.000000000000000000e+01,2.348663122039880875e+02,5.025795790703481458e+01,2.312293389454764281e+02,2.815598293512021542e+02,1.575550944303334404e+02,2.642249324487437434e+02,1.759819890708878631e+02,2.419548608713218982e+02,2.433498482855094380e+02,2.080277868416207525e+02,2.926736208469207554e+02,3.294832371646313618e+02,2.628299450435992526e+02
