# Time (month),SOLIN (W/m2),TS (K),FSNSC (W/m2),FLUT (W/m2),FSNS (W/m2),FLNS (W/m2),FLNTC (W/m2),FSNTC (W/m2),FLNT (W/m2),FLUTC (W/m2),FSNT (W/m2)
0.000000000000000000e+00,3.515032052616300575e+02,2.853049273534510917e+02,2.253073021555050559e+02,2.302932947581768985e+02,1.700174270152164411e+02,5.246096915513385994e+01,2.494281492950787822e+02,2.942989771877612952e+02,2.286497573374860224e+02,2.510716867951315976e+02,2.442142966141909710e+02
1.000000000000000000e+00,3.487915157855871371e+02,2.860232143598384482e+02,2.253530302290973850e+02,2.301572073593023617e+02,1.703834012181089577e+02,5.299500626560507044e+01,2.501216544110108373e+02,2.943505566834541014e+02,2.286838780156013797e+02,2.515949837514765761e+02,2.443915652154487645e+02
2.000000000000000000e+00,3.438926921644825256e+02,2.869417242334167213e+02,2.211677250714029697e+02,2.303804375325561011e+02,1.687508900871344508e+02,5.351224502648287995e+01,2.509751080629121702e+02,2.902207965474549951e+02,2.289428163347031671e+02,2.524127292768063739e+02,2.424284735415658645e+02
3.000000000000000000e+00,3.380461108871218130e+02,2.881297538317746785e+02,2.136938905862140530e+02,2.314090762773931544e+02,1.647290642870257500e+02,5.379098997472622301e+01,2.526157348827840394e+02,2.830170650894083906e+02,2.300013160173056406e+02,2.540234951371316754e+02,2.382544336587259011e+02
4.000000000000000000e+00,3.329646889944767167e+02,2.891587728467608827e+02,2.081315422533214132e+02,2.330387566183364072e+02,1.598790721766518459e+02,5.372680809039484018e+01,2.545863881411206080e+02,2.776345499138291757e+02,2.316468970260012554e+02,2.559782478458394905e+02,2.334920818516210375e+02
5.000000000000000000e+00,3.298736233107106273e+02,2.899251789719150452e+02,2.059914232972418802e+02,2.351210550609094128e+02,1.571861299624357287e+02,5.317453662890903843e+01,2.563337995948733692e+02,2.769198572683447424e+02,2.337350824516605599e+02,2.577197721706681364e+02,2.321350777259243330e+02
6.000000000000000000e+00,3.294832371646313618e+02,2.903694761324078399e+02,2.080174563933660750e+02,2.373488463353376119e+02,1.566894865291529300e+02,5.186878140021779160e+01,2.578792946497384264e+02,2.795554743197064340e+02,2.359586782135123713e+02,2.592694627663850042e+02,2.323211567587460706e+02
7.000000000000000000e+00,3.319162397577518959e+02,2.900855500463259773e+02,2.121235830775177931e+02,2.368612077200999124e+02,1.594969105405005791e+02,5.128551937022928797e+01,2.570394291534239528e+02,2.833246983178403866e+02,2.354683242777514920e+02,2.584323125438763782e+02,2.348360386317851294e+02
8.000000000000000000e+00,3.365665217557847768e+02,2.895528396608687558e+02,2.168992254126345358e+02,2.360097584471882612e+02,1.641983858097266591e+02,5.236032903486432133e+01,2.559174582233223987e+02,2.866963338478211085e+02,2.346050418559082686e+02,2.573221748420291419e+02,2.384307844397964402e+02
9.000000000000000000e+00,3.423565764034953531e+02,2.885129729870543542e+02,2.193254719439235316e+02,2.343150369436721689e+02,1.657498532232674222e+02,5.279328667171608913e+01,2.540800218322537773e+02,2.884035871993104365e+02,2.328933011715875239e+02,2.555017576447806107e+02,2.397214691989765925e+02
